,Category,Supplier,Region,Store_Size,Snapshot_Date,Season,Current_Stock,Daily_Sales,Reorder_Level,Lead_Time_Days,Unit_Price,Discount_Percent,Shelf_Capacity,Promotion,Holiday_Week,Days_Since_Last_Restock,Customer_Demand_Index,Weather_Impact,Is_Perishable,Stock_Coverage_Days,Price_per_Demand,Supplier_Lead_Reliability,Store_Age_Years,Last_Audit_Score,Competitor_Price_Index,Random_Noise_A,Out_of_Stock
10000,Snacks,Supplier_M2,West,Large,6/9/2025,Spring,12,4.47,3,1,3.51,0,40,No,No,0,55.4,Medium,0,2.63,0.706,0.816,14,97.6,4.02,64.2,0
10001,Produce,Supplier_X1,Central,Small,7/23/2025,Winter,6,4.63,17,2,4.88,0,51,No,Yes,1,80.6,Medium,1,1.27,0.951,0.766,33,75.6,5.42,57.06,0
10002,Beverages,Supplier_H1,West,Medium,6/13/2025,Spring,63,11.125,60,4,9.765,0,104.5,No,No,1,100,Low,0,6.46,0.491,0.97,14,88.1,10.335,68.57,0
10003,Dairy,Supplier_O1,Central,Medium,7/4/2025,Summer,14,8.96,30,2,1.71,0,71,No,No,4,77.9,Low,1,1.55,0.181,1.148,4,66.9,1.56,55.16,0
10004,Produce,Supplier_N2,East,Small,7/14/2025,Summer,17,1.66,7,4,5.28,0,22,No,No,1,59,Low,1,9.66,2.444,0.872,22,75.6,6.43,49.53,0
10005,Snacks,Supplier_I1,Central,Small,6/23/2025,Fall,0,0.73,2,3,3.13,0,19,No,Yes,1,67.2,Low,0,0,2.545,1.058,28,63.7,3.65,48.02,1
10006,Bakery,Supplier_O1,North,Small,8/17/2025,Winter,63,8.88,47,4,4.26,0,85,No,Yes,0,91,Medium,1,7.91,0.454,1.148,17,83.8,4.74,32.61,0
10007,Meat,Supplier_L2,East,Small,8/19/2025,Fall,25,2.94,30,4,3.46,0,67,No,No,8.5,68.3,Low,1,8.22,1.006,0.881,8,71.5,4,72.27,0
10008,Beverages,Supplier_E2,North,Large,7/7/2025,Summer,1,2.93,5,1,3.28,0,28,Yes,Yes,4,79.8,Low,0,0.33,0.956,0.724,23,87,3.81,54.16,0
10009,Dairy,Supplier_I2,West,Medium,7/1/2025,Summer,14,1.24,6,4,1.4,0,22,No,No,3,39.8,Medium,1,10.45,0.805,1.1,16,90.7,1.46,70.33,0
10010,Canned Goods,Supplier_X1,Central,Large,8/3/2025,Spring,11,1.7,7,2,1.2,0,18,Yes,No,2,51.1,Low,0,6.11,0.545,0.766,18,95.7,1.42,45.08,0
10011,Bakery,Supplier_P2,East,Medium,6/13/2025,Fall,26,3.57,37,4,4.42,0,28,No,Yes,0,73.3,Medium,1,7.08,1.086,0.94,28,61.2,4.52,63.96,0
10012,Snacks,Supplier_L2,East,Medium,6/14/2025,Fall,12,1.73,4,1,4.78,0,20,No,No,5,56.8,Medium,0,6.56,2.143,0.881,22,91.9,5.18,41.49,0
10013,Frozen,Supplier_I1,Central,Small,7/9/2025,Summer,63,11.125,60,4,2.84,0,104.5,No,No,0,100,Medium,1,8.58,0.169,1.058,34,82.8,2.87,41.71,0
10014,Household,Supplier_Z1,East,Large,8/25/2025,Winter,28,8.84,30,2,4.79,0,52,Yes,No,8,100,High,0,3.13,0.513,0.938,17,89.4,5.93,78.26,0
10015,Canned Goods,Supplier_S1,West,Small,6/19/2025,Winter,10,3.39,5,1,2.77,0,36,No,No,3,60,Medium,0,2.87,0.712,0.748,1,90.1,3.34,38.84,0
10016,Snacks,Supplier_Q1,North,Small,6/3/2025,Fall,16,1.03,25,8.5,3.03,0,24,No,No,8.5,31.8,Low,0,14.16,1.98,0.977,29,78.9,3.03,33.56,0
10017,Dairy,Supplier_U1,Central,Small,6/30/2025,Winter,12,0.33,2,1,0.8,0,22,No,No,2,49.5,Low,1,22.535,0.964,1.262,21,72,0.89,57.83,0
10018,Dairy,Supplier_M1,East,Small,7/1/2025,Spring,52,7.74,47,3,4.02,0,67,Yes,No,0,73.1,Low,1,6.63,0.488,1.004,2,81.7,3.71,30.69,0
10019,Personal Care,Supplier_N2,West,Medium,7/2/2025,Spring,12,1.32,3,2,2.48,0,22,Yes,No,1,50.1,Low,0,8.45,1.363,0.872,6,91.4,2.78,58.6,0
10020,Snacks,Supplier_F2,Central,Small,6/8/2025,Spring,20,9.81,21,1,1.56,0,104.5,No,No,6,78.5,High,0,2.02,0.151,1.242,31,72.8,1.69,55.2,0
10021,Canned Goods,Supplier_C1,West,Medium,7/24/2025,Summer,63,11.125,35,2,3.09,0,104.5,No,No,0,95.1,Low,0,6.98,0.235,0.988,31,80.3,3.27,41.44,0
10022,Dairy,Supplier_F1,North,Medium,6/19/2025,Spring,1,5.12,6,1,3.44,0,36,Yes,No,5,68.7,High,1,0.19,0.612,0.847,11,74,3.14,41,1
10023,Bakery,Supplier_Z1,South,Medium,8/1/2025,Fall,41,1.98,5,1,6.41,0,55,No,Yes,3,71.7,Low,1,19.71,2.585,0.938,22,86.1,7.78,40.3,0
10024,Meat,Supplier_Z1,Central,Medium,8/17/2025,Winter,19,3.09,18,3,4.41,0,45,No,No,3,45.1,Medium,1,5.96,1.228,0.938,1,80,4.78,23.35,0
10025,Beverages,Supplier_D1,Central,Medium,8/27/2025,Fall,14,0.62,2,2,6.7,0,19,No,Yes,0,58.3,Low,0,19.44,4.277,1.015,29,83.7,7.75,42.77,1
10026,Household,Supplier_O2,South,Small,7/13/2025,Fall,30,4.35,60,8.5,7.54,0,78,No,No,2,64.5,Medium,0,6.74,1.555,1.138,21,69,6.55,46.67,0
10027,Meat,Supplier_A2,North,Small,7/11/2025,Spring,26,1.16,5,1,5.39,0,39,No,Yes,0,58,High,1,20.63,3.247,0.948,27,80.1,5.64,52.08,0
10028,Snacks,Supplier_V1,East,Medium,7/27/2025,Summer,15,2.18,18,4,9.765,0,34,No,No,8.5,48.4,High,0,6.58,3.888,1.08,1,75.3,10.335,60.13,0
10029,Personal Care,Supplier_H2,Central,Small,8/29/2025,Winter,6,1.31,18,8,1.7,0,17,Yes,No,2,62.4,Low,0,4.26,0.939,1.095,2,78,1.76,73.97,1
10030,Bakery,Supplier_A2,West,Medium,7/17/2025,Summer,43,9.23,47,3,5.22,0,47,No,No,1,91.2,Low,1,4.61,0.536,0.948,1,90.2,4.82,20.27,0
10031,Beverages,Supplier_E1,North,Large,6/20/2025,Summer,10,0.42,2,3,2.27,0,11,No,No,2,41.3,Medium,0,19.23,2.467,1.003,3,75.7,2.32,45.81,0
10032,Frozen,Supplier_Y1,Central,Small,8/26/2025,Spring,15,2.14,4,2,2.56,0,44,No,No,1,52.2,Medium,1,6.7,0.97,0.977,11,91.3,2.38,19.86,0
10033,Beverages,Supplier_R1,East,Small,7/24/2025,Fall,17,1.15,3,1,2.54,0,41,No,No,2,47.3,High,0,13.6,1.539,0.807,19,61.9,2.25,37.07,0
10034,Snacks,Supplier_J2,South,Medium,7/19/2025,Spring,8,1.13,4,1,1.21,0,32,No,No,4,44.3,High,0,6.5,0.742,1.102,15,80.1,1.42,60.84,0
10035,Frozen,Supplier_J2,East,Medium,7/27/2025,Summer,16,11.125,25,1,3.1,0,51,Yes,Yes,1,100,Low,1,1.17,0.22,1.102,1,84.7,2.97,43.1,0
10036,Canned Goods,Supplier_G1,East,Medium,8/13/2025,Fall,16,1.31,4,1,3.53,0,21,No,No,2,57.4,High,0,11.35,1.95,1.105,3,88.4,3.34,27.92,0
10037,Bakery,Supplier_Q2,South,Small,8/4/2025,Fall,0,1.29,8,3,4.32,0,36,No,No,7,57.5,Low,1,0,2.413,1.123,18,66.5,4.7,52.76,0
10038,Meat,Supplier_C1,East,Small,6/25/2025,Fall,16,1.19,2,1,3.94,0,49,Yes,No,0,64.8,Medium,1,12.4,2.331,0.988,13,68.2,4.53,75.75,0
10039,Bakery,Supplier_L2,Central,Medium,8/8/2025,Winter,16,3.14,35,5,1.46,0,26,Yes,No,0,47.7,Medium,1,4.94,0.401,0.881,21,75.9,1.54,46.17,0
10040,Dairy,Supplier_Q2,Central,Small,8/9/2025,Winter,1,1.26,3,2,2.98,0,19,No,No,1,57,Low,1,0.74,1.693,1.123,4,66.9,3.61,30.23,1
10041,Produce,Supplier_H1,Central,Medium,7/29/2025,Winter,16,3.19,8,1,1.28,0,24,No,No,1,62.8,Low,1,4.86,0.347,0.97,1,91.5,1.57,26.27,0
10042,Snacks,Supplier_H2,Central,Small,8/7/2025,Winter,17,1.34,2,2,4.37,0,36,Yes,No,1,54,Low,0,11.81,2.375,1.095,22,72.8,4.88,37.32,0
10043,Beverages,Supplier_Q1,West,Small,6/26/2025,Fall,9,0.68,4,4,1.03,0,19,No,No,1,45.9,Low,0,11.54,0.873,0.977,31,67.4,1.02,57.5,1
10044,Frozen,Supplier_M2,Central,Small,7/29/2025,Fall,12,1.03,12,5,8.7,0,45,No,No,3,62,Medium,1,10.62,4.277,0.816,30,86.7,10.15,57.99,1
10045,Snacks,Supplier_H2,North,Medium,8/10/2025,Winter,18,2.79,5,1,3.85,0,32,Yes,No,0,70,Medium,0,6.23,1.17,1.095,11,61.6,3.59,37.47,0
10046,Household,Supplier_S2,Central,Small,7/10/2025,Fall,63,5.68,41,4,6.68,0,104,No,No,1,78.4,High,0,11.25,1.081,0.983,29,71.5,7.49,58.03,1
10047,Snacks,Supplier_R1,East,Medium,8/19/2025,Winter,18,3.4,40,6,5.46,0,50,Yes,No,3,68,Medium,0,5.14,1.4,0.807,27,73.7,5.56,34.15,0
10048,Household,Supplier_M2,West,Small,6/21/2025,Fall,1,1.14,9,4,4.3,0,36,No,No,6,41.6,Medium,0,0.81,2.622,0.816,19,67.4,4.94,64.97,0
10049,Beverages,Supplier_Y1,North,Small,7/17/2025,Spring,17,1.46,35,8.5,2.18,0,28,No,No,4,66.9,Low,0,10.9,1.112,0.977,32,63.1,1.86,57.8,0
10050,Personal Care,Supplier_P1,West,Small,6/4/2025,Spring,0,5.84,60,7,9.765,0,98,No,No,0,63.5,Low,0,0,2.147,0.975,27,90.1,10.335,41.28,1
10051,Household,Supplier_K1,West,Large,8/18/2025,Fall,13,11.125,60,8,2.74,0,104,No,No,8,100,Low,0,0.66,0.137,0.827,19,84.5,3.34,25.38,1
10052,Snacks,Supplier_R1,East,Medium,8/24/2025,Winter,63,11.125,60,3,3.66,0,104.5,Yes,No,2,100,Medium,0,3.12,0.142,0.807,7,72.2,4.53,25.37,0
10053,Meat,Supplier_N1,West,Large,8/1/2025,Summer,45,8.79,36,3,3.05,0,70,Yes,No,2,80.9,Medium,1,5.06,0.328,1.198,34,76.1,2.96,33.8,0
10054,Produce,Supplier_O1,South,Small,6/18/2025,Spring,10,0.99,8,2,1.43,0,18,No,No,0,48.6,Low,1,9.17,0.96,1.148,33,63.2,1.43,46.36,0
10055,Canned Goods,Supplier_G1,East,Small,6/16/2025,Winter,26,2.95,20,3,7.26,0,39,No,Yes,0,54.5,Low,0,8.52,2.104,1.105,1,85.3,8.82,36.4,0
10056,Produce,Supplier_R2,North,Small,8/29/2025,Spring,27,2.38,5,1,1.56,0,33,No,No,1,57,Medium,1,10.89,0.542,0.718,1,93.2,1.63,43.32,1
10057,Beverages,Supplier_Q2,East,Medium,6/24/2025,Summer,33,6.49,60,8,1.94,0,69,No,No,3,64.7,Low,0,5.01,0.278,1.123,4,86.5,2.03,56.78,0
10058,Bakery,Supplier_V1,West,Small,6/23/2025,Winter,3,1.34,11,3,1.19,0,24,No,No,8,54.5,Low,1,2.08,0.647,1.08,11,77.5,1.39,78.24,0
10059,Snacks,Supplier_M1,South,Large,8/6/2025,Fall,10,0.99,12,5,8.3,0,12,Yes,Yes,4,84.6,Medium,0,9.17,4.277,1.004,19,61,8.78,42.48,0
10060,Canned Goods,Supplier_H1,North,Small,7/30/2025,Winter,0,0.58,2,2,1.99,0,26,Yes,No,3,61.4,Medium,0,0,1.843,0.97,21,78.7,1.92,39.41,1
10061,Meat,Supplier_Q2,East,Small,6/27/2025,Fall,13,1.95,13,2,5.59,0,44,No,No,8.5,56.3,Medium,1,6.34,2.282,1.123,25,82.7,5.82,38,0
10062,Bakery,Supplier_Q2,Central,Small,8/11/2025,Spring,12,1.93,5,2,4.71,0,36,Yes,No,3,50.6,Low,1,5.91,1.938,1.123,1,71.8,4.53,32.14,0
10063,Beverages,Supplier_Z1,North,Medium,6/10/2025,Fall,30,8.04,28,2,4.88,0,48,Yes,No,8,97.8,Low,0,3.69,0.571,0.938,31,85.9,5.34,33.07,0
10064,Snacks,Supplier_S1,North,Small,7/20/2025,Spring,34,3.97,28,3,6.35,0,47,Yes,No,1,77.3,High,0,8.35,1.421,0.748,32,99.4,7.93,40.87,0
10065,Produce,Supplier_O1,Central,Small,6/23/2025,Fall,9,0.77,2,1,1.32,0,16,Yes,Yes,1,59.4,Low,1,10.34,1.039,1.148,3,84.5,1.18,48.22,0
10066,Canned Goods,Supplier_N1,West,Large,8/9/2025,Fall,38,11.125,60,8.5,2.95,0,104.5,No,No,8.5,75.6,Low,0,2.88,0.217,1.198,19,88.1,3.11,57.07,1
10067,Snacks,Supplier_A2,North,Large,7/9/2025,Summer,51,6.01,41,4,1.82,0,82,No,No,2,73.5,Medium,0,8.35,0.28,0.948,23,84,1.93,78.46,0
10068,Snacks,Supplier_O2,North,Small,8/18/2025,Summer,63,10.42,60,8,5.87,0,104.5,No,No,5,83.3,Low,0,7.41,0.538,1.138,8,98.7,6.43,43.61,1
10069,Household,Supplier_P2,Central,Medium,7/11/2025,Summer,11,2.23,23,7,1.89,0,17,No,No,8.5,58.3,Low,0,4.72,0.692,0.94,28,73,1.86,29.37,0
10070,Beverages,Supplier_D2,East,Small,6/2/2025,Spring,13,0.61,3,2,1.49,0,14,Yes,No,3,52.2,Low,0,18.31,1.342,0.895,33,72.1,1.75,44.17,0
10071,Dairy,Supplier_H1,Central,Large,8/28/2025,Spring,44,4.72,6,1,6.17,0,56,No,No,2,74.8,Medium,1,9.13,1.182,0.97,13,80.9,7.24,57.47,0
10072,Bakery,Supplier_W1,North,Large,8/21/2025,Spring,25,1.01,2,1,2.28,0,28,Yes,No,2,67,High,1,22.52,1.51,1.245,6,99.5,2.76,46.56,0
10073,Produce,Supplier_M2,West,Small,8/24/2025,Spring,32,2.82,2,2,1.92,0,39,No,No,3,58.6,Low,1,10.96,0.578,0.816,19,96.3,2.04,54.17,0
10074,Meat,Supplier_H1,South,Small,7/6/2025,Fall,45,4.4,39,4,4.37,0,65,No,No,4,51.7,Medium,1,10,0.892,0.97,11,92.7,4.4,33.7,0
10075,Personal Care,Supplier_I2,South,Small,6/24/2025,Spring,63,11.125,27,1,1.05,0,104.5,No,No,3,94.5,Low,0,10.41,0.09,1.1,28,96.6,1.15,47.55,0
10076,Canned Goods,Supplier_K2,North,Small,7/28/2025,Spring,63,6.13,58,5,4.95,0,104.5,Yes,No,0,88.5,High,0,17.17,0.747,1.167,31,70,5.7,52,0
10077,Bakery,Supplier_L2,East,Medium,7/7/2025,Spring,2,5.59,20,1,1.97,0,43,Yes,No,3,67.7,High,1,0.35,0.323,0.881,18,96.1,2.08,54.5,1
10078,Household,Supplier_Z1,North,Large,7/31/2025,Summer,46,8.21,60,8.5,3.46,0,61,No,No,2,72.8,Low,0,5.54,0.397,0.938,15,85.9,3.63,44.61,0
10079,Beverages,Supplier_K1,Central,Medium,6/18/2025,Winter,9,0.75,5,3,2.17,0,13,Yes,No,4,77.6,High,0,10.59,1.736,0.827,17,62.4,2.11,52.66,0
10080,Snacks,Supplier_J2,West,Large,8/6/2025,Fall,20,1.63,13,3,1.15,0,34,Yes,No,2,81.4,Medium,0,11.56,0.54,1.102,19,94.8,1.18,9.5,0
10081,Snacks,Supplier_F2,North,Small,8/27/2025,Fall,16,0.94,16,6,2.47,0,30,No,No,1,54.5,Medium,0,15.38,1.715,1.242,21,95.3,2.26,78.88,0
10082,Personal Care,Supplier_M2,West,Small,6/7/2025,Summer,20,2.97,50,8,4.79,0,54,Yes,No,3,63.6,Low,0,6.51,1.38,0.816,2,88.5,5.6,11.95,0
10083,Bakery,Supplier_N2,North,Large,8/26/2025,Summer,18,4.49,9,1,1.66,0,24,No,Yes,1,75.5,Medium,1,3.92,0.333,0.872,19,80.1,1.68,64.92,0
10084,Produce,Supplier_E2,South,Medium,8/29/2025,Summer,9,2.1,7,2,2.71,0,23,No,No,1,51.5,Low,1,4.09,1.042,0.724,3,60.7,2.51,58.51,0
10085,Canned Goods,Supplier_R2,West,Medium,6/13/2025,Winter,0,3.17,4,1,2.86,0,55,No,No,8,64.8,High,0,0,0.779,0.718,34,93.3,3.39,38.12,1
10086,Canned Goods,Supplier_L2,East,Small,7/14/2025,Summer,63,9.97,60,6,2.2,0,101,No,No,6,93.6,Medium,0,7.25,0.21,0.881,9,89.5,2,42.07,0
10087,Bakery,Supplier_C2,East,Small,6/9/2025,Summer,56,6.76,28,2,9.765,0,75,No,No,1,62.5,Low,1,8.16,1.669,1.058,20,79.4,10.335,66.48,0
10088,Dairy,Supplier_P1,North,Small,6/11/2025,Summer,5,5.77,53,5,1.15,0,80,No,No,4,63,High,1,0.85,0.183,0.975,7,74.8,1.04,70.08,1
10089,Produce,Supplier_D1,West,Medium,8/12/2025,Spring,19,1.86,4,3,7.5,0,30,No,No,0,58.8,High,1,9.69,3.178,1.015,34,82.9,7.3,61.19,0
10090,Personal Care,Supplier_S1,South,Medium,7/23/2025,Fall,11,2.13,21,4,1.92,0,17,No,No,1,50.8,High,0,4.93,0.73,0.748,28,74.3,2.27,51.05,0
10091,Frozen,Supplier_A2,North,Small,6/24/2025,Spring,16,2.08,3,1,2.7,0,49,Yes,Yes,0,84.8,High,1,7.34,1.047,0.948,10,66.6,3.25,73.21,0
10092,Meat,Supplier_S2,North,Medium,6/18/2025,Summer,10,2.24,14,3,4.02,0,33,Yes,No,0,70.3,Low,1,4.27,1.467,0.983,20,81.3,4.76,50.17,0
10093,Dairy,Supplier_D1,West,Small,6/12/2025,Summer,29,0.62,2,3,4.29,0,38,Yes,No,1,65.6,High,1,22.535,3.83,1.015,33,98.1,4.77,65.25,0
10094,Dairy,Supplier_U1,Central,Medium,8/21/2025,Fall,21,1.14,7,3,7.48,0,39,No,No,0,62.3,High,1,16.94,4.277,1.262,16,80.6,6.56,58.75,0
10095,Snacks,Supplier_N1,West,Large,7/21/2025,Winter,20,1.93,12,4,1.04,0,40,No,No,2,46.8,Medium,0,9.85,0.428,1.198,34,63.4,1.18,25.86,0
10096,Snacks,Supplier_L2,North,Medium,7/16/2025,Winter,39,3.14,11,4,4.3,0,48,No,No,3,61,Low,0,12.04,1.181,0.881,3,92.7,5.09,58.65,0
10097,Frozen,Supplier_O1,Central,Small,8/26/2025,Spring,27,6.78,13,2,3.55,0,67,No,No,0,75,High,1,3.92,0.488,1.148,16,65.1,3.63,72.97,0
10098,Bakery,Supplier_O1,East,Small,7/3/2025,Fall,15,0.34,2,2,0.81,0,21,No,No,1,45.8,Medium,1,22.535,0.964,1.148,12,95.9,0.75,61.73,0
10099,Personal Care,Supplier_P2,South,Medium,8/22/2025,Spring,11,6.17,60,7,1.77,0,23,No,Yes,0,85.3,Medium,0,1.75,0.265,0.94,9,88.4,1.98,53.73,1
10100,Produce,Supplier_E2,East,Small,8/19/2025,Fall,14,1.44,3,1,0.98,0,36,No,No,3,57.2,Low,1,9.09,0.505,0.724,20,98.4,1.15,75.63,0
10101,Frozen,Supplier_I1,East,Small,6/25/2025,Winter,28,2.86,5,1,3.83,0,59,No,No,1,63.8,High,1,9.46,1.14,1.058,25,68.3,3.37,69.72,0
10102,Dairy,Supplier_T1,East,Small,6/22/2025,Spring,25,5,46,5,4.55,0,70,No,No,8.5,67.6,Medium,1,4.9,0.827,0.812,22,62.2,5.38,28.32,0
10103,Frozen,Supplier_B2,South,Medium,6/25/2025,Summer,2,4.15,16,2,3.7,0,46,Yes,No,1,59.5,Medium,1,0.47,0.796,0.929,32,95.8,4.53,69.49,1
10104,Beverages,Supplier_H1,West,Large,8/15/2025,Spring,12,1.65,51,8.5,7.35,0,20,No,No,8.5,58.6,Medium,0,6.86,3.419,0.97,24,80.6,7.96,54.24,1
10105,Bakery,Supplier_P2,Central,Small,8/2/2025,Fall,13,2.83,15,3,9.765,0,37,No,No,0,85,Medium,1,4.44,3.36,0.94,26,63.3,10.29,9.64,0
10106,Dairy,Supplier_E2,West,Large,8/25/2025,Summer,5,1.34,7,3,1.97,0,13,Yes,No,8.5,65.2,Low,1,3.47,1.071,0.724,18,64.9,2.03,46.53,0
10107,Beverages,Supplier_V1,Central,Large,8/4/2025,Spring,63,11.125,60,8,2.13,0,89,No,No,2,100,High,0,3.8,0.092,1.08,31,92.8,2.39,23.98,1
10108,Household,Supplier_A2,West,Small,8/18/2025,Spring,13,1,2,1,2.46,0,31,Yes,No,4,64.7,High,0,11.82,1.64,0.948,21,80.2,2.17,70.66,0
10109,Household,Supplier_S2,North,Small,6/3/2025,Spring,3,0.9,6,3,6.15,0,22,No,Yes,8.5,51.6,Medium,0,3,4.277,0.983,27,97.8,6.6,62.48,1
10110,Beverages,Supplier_B1,Central,Small,8/4/2025,Summer,33,2.03,2,1,0.56,0,35,No,No,2,55.7,Low,0,15.49,0.221,0.71,3,97.6,0.54,29.12,0
10111,Canned Goods,Supplier_X1,Central,Medium,8/23/2025,Fall,3,2.18,13,2,9.57,0,41,No,No,5,71.5,Low,0,1.32,3.571,0.766,28,87,8.74,62.92,0
10112,Produce,Supplier_I2,Central,Small,6/4/2025,Fall,10,0.59,3,3,0.88,0,15,No,No,0,53.3,Medium,1,14.49,0.807,1.1,15,65.8,1.1,70.22,0
10113,Bakery,Supplier_F2,North,Small,8/12/2025,Summer,0,2.71,3,1,1.92,0,29,No,No,4,52.5,Medium,1,0,0.598,1.242,15,83.6,2.17,22.12,1
10114,Household,Supplier_E1,South,Large,7/25/2025,Summer,9,6,60,5,1.64,0,37,No,No,2,77.7,Medium,0,1.48,0.252,1.003,24,66.6,1.55,42.43,0
10115,Personal Care,Supplier_F1,West,Medium,8/26/2025,Spring,3,1.64,4,2,1.86,0,33,No,No,7,60.7,Medium,0,1.72,0.869,0.847,17,75.5,2.31,61.84,0
10116,Snacks,Supplier_R1,Central,Large,7/31/2025,Summer,20,7.94,17,1,6.39,0,51,Yes,No,4,88.5,Low,0,2.49,0.757,0.807,28,80.4,5.68,60.25,0
10117,Bakery,Supplier_K1,North,Small,8/16/2025,Summer,13,1.57,8,3,8.38,0,38,No,No,2,63.3,High,1,7.78,4.048,0.827,5,91.1,3.34,58.76,0
10118,Bakery,Supplier_J2,North,Small,7/3/2025,Winter,0,0.48,2,1,1.92,0,13,No,No,7,63.5,Medium,1,0,1.959,1.102,31,71.4,2.06,52.95,1
10119,Produce,Supplier_L1,South,Small,8/24/2025,Fall,19,0.69,2,1,4.83,0,34,Yes,No,0,63.5,Medium,1,22.535,4.059,1.173,24,98.6,5.3,47.98,0
10120,Frozen,Supplier_Q2,Central,Small,7/18/2025,Fall,18,2.67,12,3,3.59,0,88,No,No,3,48.7,Medium,1,6.5,1.132,1.123,2,76.1,3.43,38.91,0
10121,Meat,Supplier_B2,East,Medium,6/22/2025,Fall,2,3.69,35,5,2.13,0,38,No,No,8.5,63.2,Medium,1,0.53,0.508,0.929,34,73,2.26,72.57,1
10122,Meat,Supplier_L1,West,Medium,7/28/2025,Fall,17,2.33,16,4,2.63,0,31,Yes,Yes,0,82.8,Medium,1,7,0.929,1.173,8,98.2,2.8,83.13,0
10123,Snacks,Supplier_X1,South,Medium,6/18/2025,Summer,51,2.88,11,2,4.75,0,39,Yes,No,2,63.7,Medium,0,8.39,1.405,0.766,31,69.6,5.7,49.39,0
10124,Dairy,Supplier_Q1,West,Medium,7/5/2025,Summer,63,11.125,60,4,2.13,0,104.5,No,No,1,100,Low,1,7.94,0.097,0.977,4,77.9,2.65,65.83,0
10125,Personal Care,Supplier_T1,South,Small,6/15/2025,Summer,44,5.38,25,2,1.79,0,59,No,No,1,68.8,Low,0,8.03,0.304,0.812,21,94.2,1.57,49.39,0
10126,Dairy,Supplier_Q1,West,Medium,8/7/2025,Summer,2,6.11,12,1,2.57,0,40,No,No,8.5,81.9,High,1,0.32,0.389,0.977,16,90,2.77,38.21,0
10127,Snacks,Supplier_K1,East,Small,7/2/2025,Summer,17,1.1,10,2,1.4,0,32,No,No,3,65.3,High,0,14.17,0.875,0.827,14,83.8,1.66,29.45,0
10128,Personal Care,Supplier_E1,West,Medium,8/19/2025,Winter,50,2.92,14,3,2.15,0,57,No,No,0,54.9,Medium,0,16.56,0.629,1.003,31,75,2.4,63.53,0
10129,Personal Care,Supplier_P1,East,Small,8/21/2025,Summer,7,0.48,2,4,9.61,0,20,No,No,1,53.1,Medium,0,12.07,4.277,0.975,19,95.1,10.335,53.98,0
10130,Household,Supplier_H1,East,Medium,8/14/2025,Fall,18,0.19,2,1,2.86,0,21,No,No,3,55,Low,0,22.535,4.145,0.97,33,60.7,3.38,60.66,0
10131,Canned Goods,Supplier_X1,North,Medium,6/21/2025,Summer,7,0.32,12,8.5,3.1,0,19,Yes,No,4,63.4,High,0,16.67,3.78,0.766,7,74.4,3.42,49.78,0
10132,Personal Care,Supplier_C1,West,Small,8/23/2025,Summer,16,3.57,24,3,4.86,0,87,No,No,4,52.6,Medium,0,4.36,1.194,0.988,13,99,4.14,40.13,0
10133,Dairy,Supplier_O1,East,Medium,8/11/2025,Fall,3,1.41,6,4,7.11,0,27,Yes,No,4,81.9,Low,1,1.99,3.723,1.148,33,99,8.47,41.09,0
10134,Frozen,Supplier_Q1,Central,Medium,6/4/2025,Summer,38,8.47,52,4,2.67,0,68,No,No,3,82.8,High,1,4.43,0.298,0.977,6,84.1,2.33,45.9,0
10135,Snacks,Supplier_N2,South,Small,8/7/2025,Fall,5,1.34,24,8.5,3.85,0,33,Yes,Yes,0,75.5,Low,0,3.47,2.092,0.872,10,73.6,3.31,67.75,1
10136,Household,Supplier_E1,Central,Large,8/3/2025,Spring,42,1.69,17,4,9.765,0,52,Yes,No,0,54.9,Medium,0,22.535,4.277,1.003,34,72.4,10.335,42.76,0
10137,Meat,Supplier_C1,Central,Large,6/30/2025,Spring,18,2.33,23,4,2.16,0,28,No,Yes,8,55.9,Medium,1,7.41,0.763,0.988,21,88.4,2.66,48.37,0
10138,Beverages,Supplier_R1,Central,Medium,8/9/2025,Summer,5,6.89,37,2,8.19,0,57,No,No,5,76.7,High,0,0.72,1.108,0.807,1,77.7,8.01,59.49,1
10139,Produce,Supplier_I2,Central,Small,7/29/2025,Summer,25,3.85,17,4,3.61,0,40,No,No,0,63.2,Medium,1,6.33,0.83,1.1,14,88.1,3.61,14.38,1
10140,Produce,Supplier_A1,Central,Large,7/14/2025,Summer,4,2.03,21,5,6.55,0,16,No,No,4,50.6,Low,1,1.88,2.589,0.722,31,74.6,5.62,41.48,1
10141,Frozen,Supplier_J1,North,Small,7/23/2025,Fall,52,7.82,34,2,7.84,0,79,No,No,5,83.9,Medium,1,6.57,0.942,1.172,17,94.9,6.99,45.08,0
10142,Snacks,Supplier_M1,East,Medium,7/6/2025,Spring,18,5.28,17,2,4.39,0,49,Yes,No,1,78.2,Low,0,3.35,0.76,1.004,10,67.9,3.79,50.58,0
10143,Personal Care,Supplier_J2,East,Medium,8/5/2025,Summer,63,11.125,60,8,4.1,0,104.5,No,No,2,100,Low,0,5.35,0.203,1.102,21,60.2,4.57,73.53,0
10144,Produce,Supplier_D2,East,Medium,7/10/2025,Fall,32,1.81,2,1,3.38,0,35,No,No,1,54.3,Low,1,16.75,1.463,0.895,10,96.7,3.69,15.13,0
10145,Dairy,Supplier_N1,South,Medium,7/3/2025,Summer,10,1.3,13,4,6.77,0,15,No,No,2,49.5,High,1,7.14,3.761,1.198,13,74.3,5.9,44.92,0
